Sample,Taxon,Table,Count
PCRpool2P2,Acizzia_alternata,above,1214
PCRpool2P2,Acizzia_solanicola,above,32273
PCRpool2P2,Aphidius_colemani,above,6969
PCRpool2P2,Bactrocera_tryoni,above,1674
PCRpool2P2,Bradysia_ocellaris,above,0
PCRpool2P2,Carpophilus_davidsoni,above,47453
PCRpool2P2,Carpophilus_dimidiatus,above,1017
PCRpool2P2,Diuraphis_noxia,above,644
PCRpool2P2,Drosophila_hydeii,above,1086
PCRpool2P2,Drosophila_melanogaster,above,12941
PCRpool2P2,Drosophila_simulans,above,2349
PCRpool2P2,Lysiphlebus_testaceipes,above,0
PCRpool2P2,Metopolophium_dirhodum,above,732
PCRpool2P2,Psyllid_sp,above,2880
PCRpool2P2,Rhopalosiphum_padi,above,1279
PCRpool2P2,Scaptodrosophila_lativittata,above,1074
I3P2,Acizzia_alternata,above,77534
I3P2,Acizzia_solanicola,above,407500
I3P2,Aphidius_colemani,above,2960
I3P2,Bactrocera_tryoni,above,6224
I3P2,Bradysia_ocellaris,above,0
I3P2,Carpophilus_davidsoni,above,1369
I3P2,Carpophilus_dimidiatus,above,83
I3P2,Diuraphis_noxia,above,174
I3P2,Drosophila_hydeii,above,356
I3P2,Drosophila_melanogaster,above,11625
I3P2,Drosophila_simulans,above,4253
I3P2,Lysiphlebus_testaceipes,above,581
I3P2,Metopolophium_dirhodum,above,354
I3P2,Psyllid_sp,above,3018
I3P2,Rhopalosiphum_padi,above,12246
I3P2,Scaptodrosophila_lativittata,above,170
D3P2,Acizzia_alternata,above,9814
D3P2,Acizzia_solanicola,above,109001
D3P2,Aphidius_colemani,above,5551
D3P2,Bactrocera_tryoni,above,1025
D3P2,Bradysia_ocellaris,above,0
D3P2,Carpophilus_davidsoni,above,3458
D3P2,Carpophilus_dimidiatus,above,6096
D3P2,Diuraphis_noxia,above,28
D3P2,Drosophila_hydeii,above,839
D3P2,Drosophila_melanogaster,above,16955
D3P2,Drosophila_simulans,above,460
D3P2,Lysiphlebus_testaceipes,above,1154
D3P2,Metopolophium_dirhodum,above,103
