Sample,Taxon,Count,Observed,Expected,Num_species
I1P2,Scaptodrosophila_lativittata,57,0.013143241,0.01,15
D1P2,Acizzia_alternata,12771,9.410022326,0.01,15
D1P2,Acizzia_solanicola,27560,20.30696228,0.1,15
D1P2,Aphidius_colemani,40449,29.80393024,0.36,15
D1P2,Bactrocera_tryoni,1180,0.869456295,0.01,15
D1P2,Bradysia_ocellaris,0,0,0,15
D1P2,Carpophilus_davidsoni,23112,17.02955415,0.25,15
D1P2,Carpophilus_dimidiatus,7229,5.326525048,0.01,15
D1P2,Diuraphis_noxia,38,0.02799944,0.01,15
D1P2,Drosophila_hydeii,1119,0.824509826,0.01,15
D1P2,Drosophila_melanogaster,3990,2.939941201,0.05,15
D1P2,Drosophila_simulans,655,0.482621927,0.01,15
D1P2,Lysiphlebus_testaceipes,4999,3.683400016,0.14,15
D1P2,Metopolophium_dirhodum,121,0.089156112,0.01,15
D1P2,Psyllid_sp,10751,7.921631041,0.01,15
D1P2,Rhopalosiphum_padi,693,0.510621367,0.01,15
D1P2,Scaptodrosophila_lativittata,1050,0.773668737,0.01,15
PCRpool1P2,Acizzia_alternata,1798,1.334303016,0.01,15
PCRpool1P2,Acizzia_solanicola,14333,10.63657682,0.1,15
PCRpool1P2,Aphidius_colemani,55676,41.31738304,0.36,15
PCRpool1P2,Bactrocera_tryoni,1882,1.396639753,0.01,15
