Sample,Taxon,Observed,Count,Expected,Plate,Barcode,Mixture_type,Num_species,Table
I6P1,Acizzia_solanicola,90.09843937,470631,0.25,1,16,Insects,15,above
I6P1,Aphidius_colemani,0.376565994,1967,0.04,1,16,Insects,15,above
I6P1,Bactrocera_tryoni,3.131221858,16356,0.01,1,16,Insects,15,above
I6P1,Bradysia_ocellaris,0,0,0,1,16,Insects,15,above
I6P1,Carpophilus_davidsoni,0.566667688,2960,0.5,1,16,Insects,15,above
I6P1,Carpophilus_dimidiatus,0.12213986,638,0.01,1,16,Insects,15,above
I6P1,Diuraphis_noxia,0.135157901,706,0.01,1,16,Insects,15,above
I6P1,Drosophila_hydeii,0.2936717,1534,0.01,1,16,Insects,15,above
I6P1,Drosophila_melanogaster,2.68669403,14034,0.1,1,16,Insects,15,above
I6P1,Drosophila_simulans,0.309944252,1619,0.01,1,16,Insects,15,above
I6P1,Lysiphlebus_testaceipes,0.067196067,351,0.01,1,16,Insects,15,above
I6P1,Metopolophium_dirhodum,0.017229761,90,0.01,1,16,Insects,15,above
I6P1,Psyllid_sp,0.99664594,5206,0.01,1,16,Insects,15,above
I6P1,Rhopalosiphum_padi,0.432084112,2257,0.01,1,16,Insects,15,above
I6P1,Scaptodrosophila_lativittata,0.274910405,1436,0.01,1,16,Insects,15,above
D6P1,Acizzia_alternata,9.298124263,11426,0.01,1,17,DNA,15,above
D6P1,Acizzia_solanicola,52.90800342,65016,0.25,1,17,DNA,15,above
D6P1,Aphidius_colemani,4.920860968,6047,0.04,1,17,DNA,15,above
D6P1,Bactrocera_tryoni,0.900028482,1106,0.01,1,17,DNA,15,above
D6P1,Bradysia_ocellaris,0,0,0,1,17,DNA,15,above
D6P1,Carpophilus_davidsoni,4.824836229,5929,0.5,1,17,DNA,15,above
D6P1,Carpophilus_dimidiatus,6.772185377,8322,0.01,1,17,DNA,15,above
D6P1,Diuraphis_noxia,0.020344224,25,0.01,1,17,DNA,15,above
D6P1,Drosophila_hydeii,0.361313423,444,0.01,1,17,DNA,15,above
D6P1,Drosophila_melanogaster,16.22899459,19943,0.1,1,17,DNA,15,above
D6P1,Drosophila_simulans,0.730764536,898,0.01,1,17,DNA,15,above
D6P1,Lysiphlebus_testaceipes,0.201814705,248,0.01,1,17,DNA,15,above
D6P1,Metopolophium_dirhodum,0.039060911,48,0.01,1,17,DNA,15,above
D6P1,Psyllid_sp,1.263783212,1553,0.01,1,17,DNA,15,above
D6P1,Rhopalosiphum_padi,0.187166863,230,0.01,1,17,DNA,15,above
D6P1,Scaptodrosophila_lativittata,1.342718802,1650,0.01,1,17,DNA,15,above
PCRpool6P1,Acizzia_alternata,0.801484054,1348,0.01,1,18,PCR,15,above
PCRpool6P1,Acizzia_solanicola,36.13218541,60770,0.25,1,18,PCR,15,above
PCRpool6P1,Aphidius_colemani,7.206816182,12121,0.04,1,18,PCR,15,above
PCRpool6P1,Bactrocera_tryoni,0.671272623,1129,0.01,1,18,PCR,15,above
PCRpool6P1,Bradysia_ocellaris,0,0,0,1,18,PCR,15,above
PCRpool6P1,Carpophilus_davidsoni,20.03293933,33693,0.5,1,18,PCR,15,above
PCRpool6P1,Carpophilus_dimidiatus,1.142174234,1921,0.01,1,18,PCR,15,above
PCRpool6P1,Diuraphis_noxia,0.629057959,1058,0.01,1,18,PCR,15,above
PCRpool6P1,Drosophila_hydeii,1.330653792,2238,0.01,1,18,PCR,15,above
PCRpool6P1,Drosophila_melanogaster,6.810830737,11455,0.1,1,18,PCR,15,above
PCRpool6P1,Drosophila_simulans,18.65650344,31378,0.01,1,18,PCR,15,above
PCRpool6P1,Lysiphlebus_testaceipes,0.91564202,1540,0.01,1,18,PCR,15,above
PCRpool6P1,Metopolophium_dirhodum,0.754512807,1269,0.01,1,18,PCR,15,above
PCRpool6P1,Psyllid_sp,1.722477228,2897,0.01,1,18,PCR,15,above
PCRpool6P1,Rhopalosiphum_padi,1.399029657,2353,0.01,1,18,PCR,15,above
PCRpool6P1,Scaptodrosophila_lativittata,1.794420529,3018,0.01,1,18,PCR,15,above
I7P1,Acizzia_alternata,0.39086123,2107,0.00990099,1,19,Insects,16,above
I7P1,Acizzia_solanicola,90.68852423,488871,0.495049505,1,19,Insects,16,above
I7P1,Aphidius_colemani,0.664668148,3583,0.089108911,1,19,Insects,16,above
I7P1,Bactrocera_tryoni,1.05497286,5687,0.00990099,1,19,Insects,16,above
I7P1,Bradysia_ocellaris,0.003710121,20,0.00990099,1,19,Insects,16,above
I7P1,Carpophilus_davidsoni,0.014283965,77,0.04950495,1,19,Insects,16,above
I7P1,Carpophilus_dimidiatus,0.00890429,48,0.00990099,1,19,Insects,16,above
I7P1,Diuraphis_noxia,0.008347772,45,0.00990099,1,19,Insects,16,above
I7P1,Drosophila_hydeii,0.376020747,2027,0.00990099,1,19,Insects,16,above
I7P1,Drosophila_melanogaster,5.941573017,32029,0.247524752,1,19,Insects,16,above
I7P1,Drosophila_simulans,0.026341858,142,0.00990099,1,19,Insects,16,above
I7P1,Lysiphlebus_testaceipes,0.006307205,34,0.00990099,1,19,Insects,16,above
I7P1,Metopolophium_dirhodum,0.027454894,148,0.00990099,1,19,Insects,16,above
I7P1,Psyllid_sp,0.695462151,3749,0.00990099,1,19,Insects,16,above
I7P1,Rhopalosiphum_padi,0.083292213,449,0.00990099,1,19,Insects,16,above
I7P1,Scaptodrosophila_lativittata,0.009275302,50,0.00990099,1,19,Insects,16,above
D7P1,Acizzia_alternata,7.593576503,15264,0.00990099,1,20,DNA,16,above
D7P1,Acizzia_solanicola,53.85051639,108246,0.495049505,1,20,DNA,16,above
D7P1,Aphidius_colemani,5.627524725,11312,0.089108911,1,20,DNA,16,above
D7P1,Bactrocera_tryoni,0.429327602,863,0.00990099,1,20,DNA,16,above
D7P1,Bradysia_ocellaris,0.26167592,526,0.00990099,1,20,DNA,16,above
D7P1,Carpophilus_davidsoni,0.265158299,533,0.04950495,1,20,DNA,16,above
D7P1,Carpophilus_dimidiatus,3.865440869,7770,0.00990099,1,20,DNA,16,above
D7P1,Diuraphis_noxia,0.011442103,23,0.00990099,1,20,DNA,16,above
D7P1,Drosophila_hydeii,0.195510716,393,0.00990099,1,20,DNA,16,above
D7P1,Drosophila_melanogaster,26.23027481,52726,0.247524752,1,20,DNA,16,above
D7P1,Drosophila_simulans,0.329333572,662,0.00990099,1,20,DNA,16,above
D7P1,Lysiphlebus_testaceipes,0.15819951,318,0.00990099,1,20,DNA,16,above
D7P1,Metopolophium_dirhodum,0.011939586,24,0.00990099,1,20,DNA,16,above
D7P1,Psyllid_sp,0.661652041,1330,0.00990099,1,20,DNA,16,above
D7P1,Rhopalosiphum_padi,0.082084652,165,0.00990099,1,20,DNA,16,above
